time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
879.49934794,0.01527657,0.00889523,-nan,3.00000000,0.01527657,0.000000,0.000000
879.59998688,0.01096420,0.00216752,-nan,489.00000000,0.00665183,0.000000,0.000000
879.69981294,0.00822727,0.00103184,-nan,676.00000000,0.00275341,0.000000,0.000000
879.79963874,0.00748074,0.00236100,-nan,677.00000000,0.00524115,0.000000,0.000000
879.89947942,0.00669751,0.00115032,-nan,694.00000000,0.00356459,0.000000,0.000000
879.99931414,0.00683830,0.00115077,0.00000308,719.00000000,0.00754225,0.000000,0.000000
880.09994708,0.00736912,0.00084988,0.00000390,723.00000000,0.01055405,0.000000,0.000000
880.19979026,0.00869591,0.00188779,0.00000192,781.00000000,0.01798344,0.000000,0.000000
880.29962543,0.00810538,0.00045403,0.00000126,848.00000000,0.00338113,0.000000,0.000000
880.39946591,0.00774612,0.00076702,0.00000191,769.00000000,0.00451282,0.000000,0.000000
880.49930997,0.00806407,0.00113096,0.00000488,784.00000000,0.01124357,0.000000,0.000000
880.59993975,0.00775859,0.00038045,0.00000195,791.00000000,0.00439825,0.000000,0.000000
880.69978113,0.00888375,0.00147435,0.00000198,821.00000000,0.02238571,0.000000,0.000000
880.79961131,0.00858006,0.00053344,0.00000159,815.00000000,0.00463205,0.000000,0.000000
880.89944839,0.00825188,0.00033178,0.00000147,677.00000000,0.00365739,0.000000,0.000000
880.99928323,0.00801396,0.00041086,0.00000157,698.00000000,0.00444518,0.000000,0.000000
881.09992621,0.00775665,0.00049699,0.00000150,716.00000000,0.00363970,0.000000,0.000000
881.19975783,0.00756104,0.00044845,0.00000175,745.00000000,0.00423563,0.000000,0.000000
881.29960471,0.00782273,0.00160896,0.00000129,765.00000000,0.01253314,0.000000,0.000000
881.39943181,0.00760103,0.00035614,0.00000141,831.00000000,0.00338881,0.000000,0.000000
881.49967141,0.00750509,0.00090802,0.00000205,828.00000000,0.00558631,0.000000,0.000000
881.59950055,0.00739618,0.00057176,0.00000208,861.00000000,0.00510898,0.000000,0.000000
881.69933169,0.00729021,0.00058141,0.00000154,877.00000000,0.00495884,0.000000,0.000000
881.79997587,0.00716792,0.00061336,0.00000168,867.00000000,0.00435532,0.000000,0.000000
881.89982037,0.00739379,0.00182004,0.00000121,883.00000000,0.01281462,0.000000,0.000000
881.99967213,0.00725016,0.00069775,0.00000143,849.00000000,0.00365955,0.000000,0.000000
882.09950669,0.00712497,0.00057732,0.00000145,869.00000000,0.00386997,0.000000,0.000000
882.19934547,0.00701803,0.00063804,0.00000159,916.00000000,0.00413051,0.000000,0.000000
882.29960057,0.00700197,0.00078178,0.00000189,903.00000000,0.00655226,0.000000,0.000000
882.39943501,0.00711014,0.00190798,0.00000109,940.00000000,0.01024718,0.000000,0.000000
882.49966733,0.00702693,0.00046160,0.00000152,944.00000000,0.00453057,0.000000,0.000000
882.59950971,0.00692840,0.00045480,0.00000164,993.00000000,0.00387394,0.000000,0.000000
882.69935975,0.00686617,0.00078347,0.00000147,1016.00000000,0.00487502,0.000000,0.000000
